CustomerID,Cluster
C0001,2
C0002,2
C0003,0
C0004,1
C0005,2
C0006,1
C0007,2
C0008,4
C0009,8
C0010,3
C0011,1
C0012,0
C0013,1
C0014,8
C0015,4
C0016,4
C0017,7
C0018,4
C0019,3
C0020,5
C0021,6
C0022,6
C0023,3
C0024,4
C0025,2
C0026,4
C0027,2
C0028,6
C0029,9
C0030,4
C0031,0
C0032,8
C0033,8
C0034,4
C0035,4
C0036,4
C0037,3
C0038,9
C0039,0
C0040,5
C0041,7
C0042,9
C0043,8
C0044,5
C0045,6
C0046,4
C0047,4
C0048,0
C0049,4
C0050,5
C0051,7
C0052,0
C0053,3
C0054,6
C0055,4
C0056,0
C0057,7
C0058,8
C0059,6
C0060,8
C0061,3
C0062,3
C0063,7
C0064,7
C0065,6
C0066,5
C0067,4
C0068,6
C0069,7
C0070,3
C0071,2
C0072,4
C0073,3
C0074,3
C0075,6
C0076,0
C0077,8
C0078,5
C0079,9
C0080,5
C0081,7
C0082,1
C0083,2
C0084,6
C0085,0
C0086,3
C0087,1
C0088,2
C0089,5
C0090,6
C0091,2
C0092,0
C0093,6
C0094,4
C0095,2
C0096,1
C0097,8
C0098,4
C0099,1
C0100,3
C0101,6
C0102,1
C0103,3
C0104,1
C0105,7
C0106,2
C0107,1
C0108,1
C0109,6
C0110,5
C0111,7
C0112,2
C0113,1
C0114,5
C0115,5
C0116,4
C0117,5
C0118,2
C0119,8
C0120,2
C0121,8
C0122,9
C0123,0
C0124,7
C0125,9
C0126,0
C0127,7
C0128,8
C0129,0
C0130,2
C0131,9
C0132,3
C0133,2
C0134,2
C0135,3
C0136,0
C0137,0
C0138,5
C0139,9
C0140,5
C0141,6
C0142,0
C0143,6
C0144,4
C0145,6
C0146,0
C0147,2
C0148,1
C0149,3
C0150,2
C0151,8
C0152,2
C0153,1
C0154,4
C0155,1
C0156,6
C0157,4
C0158,1
C0159,2
C0160,9
C0161,2
C0162,6
C0163,1
C0164,3
C0165,1
C0166,3
C0167,7
C0168,1
C0169,1
C0170,7
C0171,1
C0172,7
C0173,6
C0174,2
C0175,6
C0176,9
C0177,0
C0178,0
C0179,3
C0180,8
C0181,0
C0182,7
C0183,4
C0184,2
C0185,5
C0186,0
C0187,0
C0188,1
C0189,4
C0190,0
C0191,0
C0192,2
C0193,2
C0194,4
C0195,0
C0196,3
C0197,3
C0198,3
C0199,3
C0200,5
